state,name,url,fa-map-marker,fa-phone,fa-globe,fa-money,about,services,img
ma,Interim House - Shelter for Families,https://www.shelterlist.com/details/interim-house-shelter-for-families,"49-51 Trenton Street  Providence, RI 02906",(401) 831-4570,,,"['About this Shelter', 'Interim House Shelter is for families with children, single and two-parent households, male and/or female 18 years or older.', 'They will accept people who have been incarcerated but they cannot accept victims of domestic violence.']","['Children are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Provides services for case management.']",https://www.shelterlist.com/gallery/1651_interim-house-shelter-for-families_iuf.png
ma,Shelter Services Tanner House,https://www.shelterlist.com/details/shelter-services-tanner-house,"32 Tanner Steet  Providence, RI 02907",(401) 454-8827,http://www.tannerhouse.org,http://www.tannerhouse.org/pages/join_us.html,"['About this Shelter', 'Tanner House is located on Tanner Street, off Prairie Avenue, in South Providence, within walking distance of downtown Providence and near several bus lines.', 'Many men and women have passed through its doors and found a path from the homelessness they had experienced to a more permanent housing situation.', 'For a modest rental payment for their housing and a willingness to change, they have found an opportunity to examine their lives and develop goals for themselves.', 'Ten single adults, along with a live-in house manager, live at Tanner House.', 'Each resident enjoys a private bedroom.', 'Common areas, such as bathrooms, living rooms, two kitchens, two porches, a finished basement with exercise equipment, and a fenced-in yard are part of their living arrangements.']",[],https://www.shelterlist.com/gallery/3076_shelter-services-tanner-house_ncu.png
ma,PEOPLE TO END HOMELESSNESS,https://www.shelterlist.com/details/people-to-end-homelessness,"33 Chestnut Avenue  Providence, RI 02908",(401) 274-0065,,,['About this Shelter'],[],
ma,Sojourner House,https://www.shelterlist.com/details/sojourner-house1,"386 Smith St  Providence, RI 02908",(401) 861-6191,http://www.sojournerri.org/,https://www.mightycause.com/organization/Sojournerhouseri,"['About this Shelter', 'The mission of Sojourner House is to provide education and community programs to prevent violence, and culturally sensitive support, advocacy, safety and respect for victims of relationship abuse.']",[],https://www.shelterlist.com/gallery/2271_sojourner-house1_jgs.png
ma,FOCUS Family Resource Center ,https://www.shelterlist.com/details/focus-family-resource-center-family-resource-center,"11 Peck Steet  Attleboro, MA 02703",(508) 226-5722,https://www.frcma.org/,,"['About this Shelter', 'Mission Statement: our goal is to support families to strengthen their bonds, connect to others, and engage in their community.']",[],http://www.shelterlist.com/gallery/741_focus-family-resource-center-family-resource-center_qae.JPG
ma,BRIDGEHOUSE,https://www.shelterlist.com/details/bridgehouse,"24 Baker Steet  Lynn, MA 01902",(781) 593-3898,http://www.lsahome.org/,,"['About this Shelter', 'Helps homeless people in Lynn.']","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Provides transitional shelters.']",http://www.shelterlist.com/gallery/2173_bridgehouse_wpb.jpg
ma,Lynn Shelter Association,https://www.shelterlist.com/details/lynn-shelter-association,"100 Willow Street  Lynn, MA 01901",(781) 581-6600,http://www.lsahome.org/,,"['About this Shelter', 'Lynn Shelter Association is open 365 days a year, their emergency shelter serves up to 44 men and women over age 18, providing on-site case management, mental health and medical triage, access to basic necessities and a starting point on the path to permanent housing.', 'Mission Statement: Our mission is to provide a safe environment for each individual to define and pursue their goals for independence and self-sufficiency.']","['Men are welcome.', 'Women are welcome.', 'Provides emergency shelters.', 'Provides services for case management.', 'Provides medical assistance.', 'Provides mental health counseling.']",http://www.shelterlist.com/gallery/877_lynn-shelter-association_prz.jpg
ma,Mass. Coalition for the Homeless,https://www.shelterlist.com/details/mass-coalition-for-the-homeless,"15 Bubier Street  Lynn, MA 01901",(781) 595-7570,http://mahomeless.org/,https://secure2.convio.net/mch/site/Donation2;jsessionid=731A41C3998700A21BBC373385DE2D3A.app262a?1400.donation=form1&df_id=1400,"['About this Shelter', 'Massachusetts Coalition for the Homeless is committed to ensuring that everyone has a place to call home.', ""The Coalition's policy work and programs address this issue on three fronts."", 'First, the Coalition provides bridges over short-term crisis, helping people who are experiencing homelessness or at-risk to relocate quickly into new housing or avoid homelessness altogether.', 'Second, the Coalition works to ensure adequate and appropriate shelter if homelessness is unavoidable.', 'Third, the Coalition advocates for long-term solutions to the housing crisis, promoting government support for income and housing resources so that all Massachusetts residents can obtain and maintain safe, affordable housing.', 'As the Coalition works to address the causes, not just the symptoms of homelessness, it remains committed to creating opportunities for families and individuals to advocate for their own needs.']","['Men are welcome.', 'Women are welcome.', 'Children are welcome.', 'Teenage children are welcome.', 'Families are welcome.', 'Provides services for case management.']",http://www.shelterlist.com/gallery/2444_mass-coalition-for-the-homeless_aex.png
ma,Lifebridge - River House,https://www.shelterlist.com/details/lifebridge-river-house,"56 Margin Steet  Beverly, MA 01915",(978) 921-1304,http://www.lifebridgesalem.org/,,"['About this Shelter', 'Emergency Shelter:', 'River House provides a safe place to sleep and meals for up to 34 men each day.', 'Guests find more than shelter at River House, where caring and committed staff works to help them find jobs, permanent housing, and medical care.', 'The staff also helps guests access benefits, such as those for veterans, senior citizens, and the disabled.', 'At night, the dining room is turned into sleeping quarters with yoga mats and cots and there are 12 bunks on their lower level.', 'They provide guests with sheets, pillows, blankets, and towels, as well as storage for personal items and clothing.', 'Each guest has access to a hot shower and free laundry facilities.', 'On the second floor of River House is their congregate living area, which provides a supportive and affordable rental opportunity for five formerly homeless individuals.', 'Each tenant has a private bedroom and shares a common living room, a kitchen, two bathrooms, laundry facilities, and the responsibilities of household chores.', 'Tenants also receive case-management services to assist with goal planning and life-management skills.', 'Mission Statement: Our mission is to end the crisis of homelessness. We believe the way to solve this crisis, one person at a time, is to provide housing with supportive services, to encourage personal and income development, and stability in physical and mental health. We do this through our three locations in Salem, Beverly, and Gloucester.']",[],http://www.shelterlist.com/gallery/493__dsb.
ma,WELLSPRING HOUSE,https://www.shelterlist.com/details/wellspring-house,"302 Essex Avenue  Gloucester, MA 01930",(978) 281-3221,http://www.wellspringhouse.org/,http://www.wellspringhouse.org/how-you-can-help/make-a-donation/,"['Hours', 'Monday', '8:30 AM - 4:30 PM', 'Tuesday', '8:30 AM - 4:30 PM', 'Wednesday', '8:30 AM - 4:30 PM', 'Thursday', '8:30 AM - 4:30 PM', 'Friday', '8:30 AM - 4:30 PM', 'Saturday', 'closed', 'Sunday', 'closed', 'Monday', '8:30 AM - 4:30 PM', '8:30 AM - 4:30 PM', 'Tuesday', '8:30 AM - 4:30 PM', '8:30 AM - 4:30 PM', 'Wednesday', '8:30 AM - 4:30 PM', '8:30 AM - 4:30 PM', 'Thursday', '8:30 AM - 4:30 PM', '8:30 AM - 4:30 PM', 'Friday', '8:30 AM - 4:30 PM', '8:30 AM - 4:30 PM', 'Saturday', 'closed', 'closed', 'Sunday', 'closed', 'closed', 'About this Shelter', 'Wellspring assists over 1,000 families each year.', 'Through active case management, advocacy, referrals and one time cash grants, families are assisted in homelessness prevention, emergency shelter placement, and securing long term housing.', 'Wellspring also sponsors a holiday store during the winter season to help provide 400 families with gifts for their children.']",[],https://www.shelterlist.com/gallery/3070_wellspring-house_yym.png
ma,BRIDGEHOUSE,https://www.shelterlist.com/details/bridgehouse1,"24 Baker Steet  Lynn, MA 01902",(781) 593-3898,http://www.lsahome.org,,"['About this Shelter', 'Housing First is an approach to quickly and successfully connect individuals and families experiencing homelessness to permanent housing without preconditions and barriers to entry, such as sobriety, treatment or service participation requirements.', 'Supportive services are offered to maximize housing stability and prevent returns to homelessness as opposed to addressing predetermined treatment goals prior to permanent housing entry.*']",[],https://www.shelterlist.com/gallery/2863_bridgehouse1_ovb.png
ma,Harborlight Salvation Army Shelter,https://www.shelterlist.com/details/harborlight-salvation-army-shelter,"407 Shawmut Avenue  Boston, MA 02118",(617) 536-7469,http://www.salvationarmyusa.org/usn/,,"['About this Shelter', 'The Salvation Army Harbor Light Centers seek to bring hope to those who have fallen captive to substance abuse.', 'Each center provides detoxification services, residential treatment, transitional housing, and outpatient treatment for men and women.', 'Treatment includes group and individual counseling, education, skills for managing grief and anger, and training for independent living and meaningful employment.', 'The development of life skills such as anger and money management is an important part of the program.']","['Men are welcome.', 'Women are welcome.', 'Provides long term shelters.', 'Provides services for case management.', 'Provides assistance with addiction.']",http://www.shelterlist.com/gallery/2725_harborlight-salvation-army-shelter_mnw.jpg
ma,Battered Women's Emergency Shelter - Elizabeth Stone House,https://www.shelterlist.com/details/battered-womens-emergency-shelter-elizabeth-stone-house,"8 Notre Dame Steet  Boston, MA 02119",(617) 427-9801,http://www.elizabethstonehouse.org,http://www.elizabethstone.org/donate-now/,"['About this Shelter', 'Elizabeth Stone House offers support finding stabilized housing for homeless, formerly homeless and at-risk of becoming homeless clients.', 'These services include, but are not limited to: housing relocation, eviction prevention, housing search, landlord liaison activities, financial coaching, and housing counseling.']","['Men are welcome.', 'Children are welcome.', 'Families are welcome.', 'Provides emergency shelters.', 'Provides transitional shelters.', 'Provides help for domestic violence cases.', 'Provides counseling.']",http://www.shelterlist.com/gallery/3231_battered-womens-emergency-shelter-elizabeth-st-one-house_gai.png
ma,Pine Street Inn,https://www.shelterlist.com/details/the-womens-inn-at-pine-st-reet,"444 Harrison Ave  Boston, MA 02118",(617) 892-9100,http://www.pinestreetinn.org/,https://secure2.convio.net/psi/site/Donation2;jsessionid=00000000.app203a?df_id=1395&1395.donation=form1&NONCE_TOKEN=FA1DE07F1B8D02E9668566FECF9E9B41,"['About this Shelter', 'Pine Street is dedicated to ending homelessness through permanent housing, emergency shelter, job training and street outreach.']",[],https://www.shelterlist.com/gallery/2040_the-womens-inn-at-pine-st-reet_gfo.fna&oh=cab47eee7ccfbb4ebd2f11da2f3d5879&oe=5CA7BDD2
ma,Metropolitan Boston Housing Partnership,https://www.shelterlist.com/details/metropolitan-boston-housing-partnership,"569 Columbus Avenue  Boston, MA 02118",(617) 859-0400,https://www.metrohousingboston.org/,,"['About this Shelter', ""Metropolitan Boston Housing Partnership Mission is to ensure that the region's families and individuals of low and moderate incomes have choice and mobility in finding and retaining decent affordable housing.""]",[],http://www.shelterlist.com/gallery/921_metropolitan-boston-housing-partnership_ild.png
ma,City of Boston Emergency Shelter Commission,https://www.shelterlist.com/details/city-of-boston-emergency-shelter-commission,"1010 Massachusetts Ave  Boston, MA 02118",(617) 534-5395,http://www.cityofboston.gov/shelter/,,"['About this Shelter', ""The Emergency Shelter Commission's mission is to coordinate the City's efforts to prevent and end homelessness and hunger through proactive planning, policy analysis, program development and advocacy with our city, state, federal and community partner agencies."", ""The Commission's goal is to eradicate hunger and homelessness by seeking systemic solutions to these challenging socio-economic problems."", 'The ESC coordinates a safety net of services and provides information and referral to homeless and hungry citizens in need.']",[],https://www.shelterlist.com/gallery/1579_city-of-boston-emergency-shelter-commission_eky.PNG
ma,Queen of Peace Family Shelter,https://www.shelterlist.com/details/queen-of-peace-family-shelter,"401 Quincy Steet  Boston, MA 02125",(617) 288-4182,https://www.housingworks.net/program/1201,,"['Hours', 'Monday', '4:30 PM - 9:00 AM', 'Tuesday', '4:30 PM - 9:00 AM', 'Wednesday', '4:30 PM - 9:00 AM', 'Thursday', '4:30 PM - 9:00 AM', 'Friday', '4:30 PM - 9:00 AM', 'Saturday', '4:30 PM - 9:00 AM', 'Sunday', '4:30 PM - 9:00 AM', 'Monday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Tuesday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Wednesday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Thursday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Friday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Saturday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'Sunday', '4:30 PM - 9:00 AM', '4:30 PM - 9:00 AM', 'About this Shelter', ""Women and children's shelter in MA."", 'No males above the age of 3.']",[],https://www.shelterlist.com/gallery/3171_queen-of-peace-family-shelter_imp.JPG
ma,Kingston House - Boston Rescue Mission,https://www.shelterlist.com/details/kingston-house-boston-rescue-mission,"39 Kingston Steet  Boston, MA 02111",(617) 338-9000,http://www.brm.org/,https://www.servicenetwork.com/olg/bostonrm/Donate.aspx?FormId=c94e9c59-a4b6-4d50-81b7-7dc3ca27e353&_ga=2.143178300.863012631.1539361630-866689954.1539361630,"['About this Shelter', 'Boston Rescue Mission aids the homeless and poor of Greater Boston to self-sufficiency by assisting women and men in confronting and overcoming the root causes of their homelessness.', 'To this end, the Mission provides basic life necessities such as food and shelter as well as social service programs.', 'The goal is to provide the homeless and poor with the support, training, and resources necessary to sustain independent living for a lifetime.', 'Mission Statement: Our mission is to Offer resources that prevent and end homelessness Support the recovery, health, faith, and independence of those who have a history of substance use, incarceration, and homelessness Raise awareness about the root causes of homelessness, addiction, and incarceration Serve our guests and residents and each other with respect, integrity, and grace Continue to learn, grow, and excel in our services Be good stewards of the resources entrusted to us by our supporters']",[],http://www.shelterlist.com/gallery/917_kingston-house-boston-rescue-mission_tbv.jpg
ma,Mass Bay Chapter American Red Cross,https://www.shelterlist.com/details/mass-bay-chapter-american-red-cross,"285 Columbus Ave  Boston, MA 02116",(800) 733-2767,https://www.redcross.org/local/massachusetts.html,https://www.redcross.org/local/massachusetts/ways-to-donate.html,"['About this Shelter', 'The American Red Cross, a humanitarian organization led by volunteers, guided by its Congressional Charter and the Fundamental Principles of the International Red Cross Movement, will provide relief to victims of disasters and help people prevent, prepare for, and respond to emergencies.', ""Mission Statement: The American Red Cross shelters, feeds and provides emotional support to victims of disasters; supplies about 40 percent of the nation's blood; teaches skills that save lives; provides international humanitarian aid; and supports military members and their families""]",[],http://www.shelterlist.com/gallery/_aswgykft.png
ma,Chardon Street Shelter for Women and Children,https://www.shelterlist.com/details/chardon-street-shelter-for-women-and-children,"41 New Chardon Street  Boston, MA 02114",(617) 720-3611,,,"['About this Shelter', 'This is a shelter for women and children only.']","['Women are welcome.', 'Children are welcome.', 'Shelter serves hot meals.', 'Provides emergency shelters.', 'Provides services for case management.', 'Provides counseling.', 'Provides medical assistance.', 'Provides legal assistance.']",https://www.shelterlist.com/gallery/1967_chardon-street-shelter-for-women-and-children_hdo.png
ma,Cardinal Medeiros Center,https://www.shelterlist.com/details/cardinal-medeiros-center,"1960 Washington St  Boston, MA 02118",(617) 619-6960,https://www.baycovehumanservices.org/the-cardinal-medeiros-center,https://www.baycovehumanservices.org/donate,"['About this Shelter', ""The Medeiros Center is Boston's first and only day shelter specifically for older adults."", 'At the Center, individuals aged 45 and older can spend the day participating in recreational and therapeutic activities, facilitated by skilled case managers who can refer participants to housing, medical and mental health care resources, as well as addiction treatment.']",[],https://www.shelterlist.com/gallery/_bmlcckcy.png
ma,Crittenton Women's Union,https://www.shelterlist.com/details/crittenton-womens-union,"1 Washington Mall  Boston, MA 02108",(617) 259-2900,https://www.empathways.org/,https://empath.thankyou4caring.org/donation_main,"['About this Shelter', ""Crittenton Women's Union transforms the course of low-income women's lives so that they can attain economic independence and create better futures for themselves and their families.""]",[],http://www.shelterlist.com/gallery/1208_crittenton-womens-union_jlz.png
ma,New England Center for Homeless Veterans,https://www.shelterlist.com/details/new-england-center-for-homeless-veterans,"17 Court Street  Boston, MA 02108",(617) 371-1800,http://www.nechv.org,https://www.nechv.org/give/ways-of-giving/,"['Hours', 'Monday', '9:00 AM - 5:00 PM', 'Tuesday', '9:00 AM - 5:00 PM', 'Wednesday', '9:00 AM - 5:00 PM', 'Thursday', '9:00 AM - 5:00 PM', 'Friday', '9:00 AM - 5:00 PM', 'Saturday', 'closed', 'Sunday', 'closed', 'Monday', '9:00 AM - 5:00 PM', '9:00 AM - 5:00 PM', 'Tuesday', '9:00 AM - 5:00 PM', '9:00 AM - 5:00 PM', 'Wednesday', '9:00 AM - 5:00 PM', '9:00 AM - 5:00 PM', 'Thursday', '9:00 AM - 5:00 PM', '9:00 AM - 5:00 PM', 'Friday', '9:00 AM - 5:00 PM', '9:00 AM - 5:00 PM', 'Saturday', 'closed', 'closed', 'Sunday', 'closed', 'closed', 'About this Shelter', 'Located at 17 Court Street in downtown Boston, Massachusetts,', 'They are open 7 days a week, 24 hours a day, serving both male and female Veterans.']",[],https://www.shelterlist.com/gallery/2642_new-england-center-for-homeless-veterans_xbn.png
ma,Woods Mullen Shelter and Services,https://www.shelterlist.com/details/woods-mullen-shelter-and-services,"794 Massachusetts Ave  Boston, MA 02118",(617) 534-7100,http://www.bphc.org/whatwedo/homelessness/homeless-services/Pages/locations.aspx,,"['About this Shelter', ""Women's shelter, known as Woods-Mullen has 200 beds and is open 365 days a year, 24 hours a day."", 'Mission Statement: To protect, preserve, and promote the health and well-being of Boston residents.']","['Only women are allowed.', 'Shelter serves hot meals.', 'Provides emergency shelters.', 'Provides services for case management.', 'Provides medical assistance.', 'Provides assistance with addiction.']",http://www.shelterlist.com/gallery/1102_woods-mullen-shelter-and-services_qjg.jpg
ma,The Women's Inn,https://www.shelterlist.com/details/the-womens-inn,"363 Albany Steet  Boston, MA 02118",(617) 482-4944,http://www.pinestreetinn.org/our_programs/shelter,http://support.pinestreetinn.org/site/Donation2?df_id=1395&1395.donation=form1,"['About this Shelter', ""The Women's Inn is New England's largest emergency shelter for women, providing a safe place to sleep for 120 women each night, as well as recovery programs, health care and housing. Counselors create an atmosphere of welcome and respect while providing critical services that help guests reclaim their lives."", 'Mission Statement: Pine Street Inn partners with homeless individuals to help them move from the streets and shelter to a home, and assists formerly homeless individuals in retaining housing. We provide street outreach, emergency services, supportive housing, job training and connections to employment. We tirelessly advocate for collaborative solutions to end homelessness.']",[],http://www.shelterlist.com/gallery/450__sdf.jpg
ma,FamilyAid Emergency Shelter,https://www.shelterlist.com/details/familyaid-emergency-shelter,"727 Atlantic Avenue  Boston, MA 02111",(617) 542-7286,http://www.familyaidboston.org/Home.aspx,https://interland3.donorperfect.net/weblink/weblink.aspx?name=E245976&id=1,"['About this Shelter', 'FamilyAid Boston works with families at all stages of the journey from homelessness to housing by providing homelessness prevention assistance, emergency shelter and permanent, affordable housing in conjunction with support services.']","['Families are welcome.', 'Provides emergency shelters.', 'Provides transitional shelters.', 'Provides long term shelters.', 'Provides supportive housing.', 'Provides services for case management.', 'Provides counseling.']",http://www.shelterlist.com/gallery/1894_familyaid-emergency-shelter_zqh.png
ma,Boston Night Center Pine Street Inn,https://www.shelterlist.com/details/boston-night-center-pine-st-reet-inn,"444 Harrison Avenue  Boston, MA 02118",(617) 892-9100,http://www.pinestreetinn.org/,http://www.pinestreetinn.org/donate,"['About this Shelter', 'Boston Night Center Pine Street Inn is dedicated to ending homelessness through permanent housing, emergency shelter, job training and street outreach.', 'Mission Statement: Pine Street Inn partners with homeless individuals to help them move from the streets and shelter to a home, and assists formerly homeless individuals in retaining housing. We provide street outreach, emergency services, supportive housing, job training and connections to employment. We tirelessly advocate for collaborative solutions to end homelessness.']",[],http://www.shelterlist.com/gallery/726_boston-night-center-pine-st-reet-inn_dxh.jpg
ma,Shelter at 112 Southampton Street - Boston Public Health Commission,https://www.shelterlist.com/details/shelter-at-112-southampton-street-boston-public-health-commission,"112 Southampton Steet  Boston, MA 02218",(617) 534-5395,http://www.bphc.org/whatwedo/homelessness/homeless-services/Pages/locations.aspx,,"['About this Shelter', 'The Homeless Services Bureau of the Boston Public Health Commission operates two emergency shelters: Woods-Mullen Shelter and Southampton Street Shelter.', 'Mission Statement: To protect, preserve, and promote the health and well-being of Boston residents.']","['Men are welcome.', 'Women are welcome.', 'Shelter serves hot meals.', 'Provides emergency shelters.', 'Provides supportive housing.', 'Has special services for veterans.', 'Provides help for domestic violence cases.', 'Provides services for case management.', 'Provides medical assistance.', 'Provides mental health counseling.', 'Provides legal assistance.']",http://www.shelterlist.com/gallery/562_shelter-at-112-southampton-street-boston-public-health-commission_jsw.png
ma,Families in Transition,https://www.shelterlist.com/details/families-in-transition,"316 Huntington Avenue  Boston, MA 02115",(617) 927-8290,http://ymcaboston.org/stories/families-transition-road-home,http://ymcaboston.org/give-y,"['About this Shelter', ""The Huntington Avenue YMCA's Families in Transition program is an emergency shelter program funded by the Department of Transitional Assistance."", 'FIT provides a wide range of life services including advocacy, employment support, health and wellness opportunities and childcare assistance to help homeless families find and sustain permanent housing.', ""Mission Statement: The Y is the nation's leading nonprofit committed to strengthening communities through youth development, healthy living and social responsibility.""]",[],http://www.shelterlist.com/gallery/765_families-in-transition_ebh.jpg
