name,city,contact,address,phone,website,description,last_updated
"Rosie's Place For Women - Roxbury, MA ","Boston, MA",,"889 Harrison Avenue Roxbury, MA 02118",617-442-9322,http://www.rosiesplace.org/,"Overnight ShelterRather than requiring our guests to leave each morning, we allow women to stay longer, providing much-needed time to find some stability and focus on long-term solutions.Rosie’s Place Overnight Program provides emergency shelter to 20 women for up to 21 days at a time. The Overnight Program is open 365 days a year to give a woman a warm, safe bed, three meals a day and enough time to get her footing so she can best make a plan for what comes next. Last year, nearly 300 guests found sanctuary at Rosie’s Place.OVERNIGHT SHELTERLottery (when beds are available) Monday-Friday: 8:00 a.m.Saturday, Sunday, Holidays: 10:00 a.m.Dining RoomEvery day an average of 220 poor and homeless women and their children can count on having a healthy lunch and dinner in our bright and welcoming Dining Room. Another 60 women enjoy breakfast Monday through Friday.Unlike other places, we don’t require our guests to line up and wait to receive their meals. Our volunteers and dining room staff act as waiters and waitresses to serve them at the table, just as you would a guest in your own home. For many of our diners, it well may be the only respite in their day.DINING ROOM HOURSMonday-FridayBreakfast: 7:30 - 8:15 a.m.Lunch: 11:30 a.m. - 1:00 p.m. Lunch Served: 12:00 - 12:30 p.m.Dinner: 4:30 - 7:30 p.m. Dinner Served: 6:00 - 6:30 p.m.Saturday and SundayBrunch: 10:30 a.m. - 12:00 p.m. Brunch Served: 11:00 - 11:30 a.m.Dinner: 3:30 - 5:00 p.m. Dinner Served: 4:00 - 4:30 p.m.Food PantryAn average of 1,900 women visit our Food Pantry each month and leave with 20-40 pounds of healthy food for their families. While many pantries distribute pre-bagged groceries, our guests “shop” free of charge among shelves set up like a grocery store, choosing which items they would like from juices, grains, canned goods and more. And thanks to relationships we have developed with local farms, we can also offer women a wide selection of seasonal, nutritious fresh fruits and vegetables year round.FOOD PANTRY HOURSTuesday-Friday9:00 a.m. - 12:00 p.m. (80 guests maximum)Monday-Friday4:30 p.m. - 6:30 p.m. (40 guests maximum)Essential Services Women are welcomed in from the streets and invited to rest, regroup and spend time in a safe place.Many women come to Rosie’s Place for services that may be considered basic but are nonetheless important to enhancing their self-esteem. Women living on the street know that they can count on us for a place to launder their clothes, take a shower, store their belongings in a locker or rest in our Sitting Room, all free of charge. We also provide guests with lifelines like a mailing address and use of computers and phones. Last year, Rosie’s Place provided 8,638 showers, 1,750 loads of laundry, 10,705 phone uses and 12,341 computer uses. Do you have items to donate? Contact Rosie's Place For Women at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"TEMPORARY HOME FOR WOMEN AND CHILDREN - Boston, MA ","Boston, MA",,"41 New Chardon Street Boston, MA 02114",,617 720 3611,Do you have items to donate? Contact TEMPORARY HOME FOR WOMEN AND CHILDREN at the phone number provided above to see if they can use any items you may have to donate.,
"MEDFORD FAMILY LIFE EDUCATION CENTER - Medford, MA ","Boston, MA",,"2 Central Avenue Medford, MA 02155",,781 391 9116,Do you have items to donate? Contact MEDFORD FAMILY LIFE EDUCATION CENTER at the phone number provided above to see if they can use any items you may have to donate.,
"Shelter at 112 Southampton Street - Boston Public Health Commission - Boston, MA ","Boston, MA",,"112 Southampton St. Boston, MA 02218",617-534-6100,http://www.bphc.org/whatwedo/homelessness/homeless-services/Pages/locations.aspx,"Our men's shelter, located on Southampton Street in the Newmarket district of the South End, is a state-of-the-art facility that opened in June 2015. This shelter serves men only and beds are allotted on a first-come, first-served basis. At full capacity, the shelter holds over 400 nightly guests. Men looking for shelter for the evening should go to Southampton Street Shelter, where they will be searched, screened and given admission. The shelter is open 24 hours a day on year round basis. â€‹Provided at the shelter: Meals - Breakfast, lunch, and dinner meals are served to guests in our cafeteria. Toiletries - Guests are provided with soap, toothpaste, shaving cream, and shampoo. Emergency Clothing - Guests are given access to emergency clothing assistance. Lockers - Guests may access rental lockers for personal belongings or medications. Medical Health Care - Guests have access to the clinic operated by Boston's Health Care for the Homeless. Mental Health - Mental Health services are available on a walk-in basis for anyone who feels they need help or counseling. Individual Case Management - Guests are encouraged to meet with the Case Management Department for referrals to both internal and external job training, education and substance abuse services. Do you have items to donate? Contact Shelter at 112 Southampton Street - Boston Public Health Commission at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"MARY MARTHA CENTER - Hingham, MA ","Boston, MA",,"1045 Main Street Hingham, MA 02043",,781-749-5441,Do you have items to donate? Contact MARY MARTHA CENTER at the phone number provided above to see if they can use any items you may have to donate.,
"Shelter Hope and Dignity of Women Searching - SHADOWS Shelter - Ashland, MA ","Boston, MA",,"25 Central Street Ashland, MA 01721",(508) 620-2690,http://www.smoc.org,"Shadows provides temporary emergency housing for up to 10 women who are sober. It is linked to SMOC's continuum of housing and services through the Common Ground Resource Center. Women at Shadows are eligible for employment and housing search services, mental health and substance abuse services and more.Eligibility RequirementsAll referrals are coordinated through the Common Ground Resource Center - (508) 620-2690.Contact InformationPlease call (508) 620-2690 to receive a referral packet. Volunteers Requests by Shelter Hope and Dignity of Women Searching - SHADOWS Shelter: People can inquire about a volunteer opportunity at SMOC by calling the Director of Community Resources at the Framingham Resource Center. The number is (508) 620-2418. Once an opportunity is identified within SMOC, an interview is set up by the component director who will request necessary human resources’ processes such as, a CORI check, and employment authorization check. Donation Requests by Shelter Hope and Dignity of Women Searching - SHADOWS Shelter: Shadows accepts shampoo, conditioners, feminine hygiene products, clean twin bed sheets and comforters. Please call directly to schedule a delivery time.",2020-02-01
"DAYBREAK SHELTER - Lawrence, MA ","Boston, MA",,"19 Winter Street Lawrence, MA 01843",,978 975 4547,Do you have items to donate? Contact DAYBREAK SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Brookview House Transitional Housing Program - Dorchester, MA ","Boston, MA",,"2 Brookview Street Dorchester, MA 02124",617 265 2965,http://brookviewhouse.org/ : Follow us on Facebook,"Established in 1990, the agencyâ€™s mission is to help homeless and at risk families learn the skills necessary to break the cycle of homelessness and poverty. With sites in Roxbury and Dorchester, we provide a safe, community setting with customized services to give homeless moms and kids the help and skills they need to succeed.AGENCY PROGRAMS:1) YOUTH DEVELOPMENT PROGRAMS are licensed by the Commonwealth and designed to help school-age children (5.9 to 19 years old) recover from the trauma of homelessness and do well in school. Research indicates that children in a supportive, stable community can heal from the traumas of homelessness, stay in school and thrive. Brookview provides daily after school and full day summer programs with customized academic, emotional and behavioral support.2) TRANSITIONAL HOUSING, EMERGENCY HOUSING & RENTAL HOUSING with services. HOUSING SEARCH ASSISTANCE.Brookview provides a safe, supportive place to stay with on-site childrenâ€™s programs and lots of support. Moms who know their children are safe can focus on building the skills they need to support their families.3)TRAINING & EDUCATION. Our dedicated staff helps people address and overcome their particular barriers to success by offering a full range of skill building and health workshops. Each participant has a customized education, life skills and job skills training plan.4) PREVENTION & STABILIZATION. Brookview House also opens its programs to local area residents and schools to help those at risk of homelessness stay at work and housed. As a result, weâ€™re stabilizing the community as weâ€™re helping families thrive. Do you have items to donate? Contact Brookview House Transitional Housing Program at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"CRITTENTON HASTINGS HOUSE - Brighton, MA ","Boston, MA",,"10 Pertshire Road Brighton, MA 02135",,617 782 7600,Do you have items to donate? Contact CRITTENTON HASTINGS HOUSE at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Sojourner House Family Shelter - Roxbury, MA ","Boston, MA",,"85 Rockland Street Roxbury, MA 02119",617.442.0590,https://sojournerhouseinboston.wordpress.com/,"Must have a referral from the Department of Housing and Community Development and be eligible for Emergency Assistance. Call for full details. Sojourner House is a family shelter in Roxbury which opened in October of 1981. The program, set up in a recently remodeled house, is designed to meet the immediate survival needs of displaced families. We shelter two-parent and single-parent families on a 24-hour basis. Families that come to stay here are not required to leave after a limited time. The population consists largely of women and children, and children are the majority of our guests.The goal of Sojourner House is to provide a stable environment for families, while helping them obtain and maintain safe, permanent, affordable housing. Counseling and referrals are provided within the context of a supportive and stable atmosphere. Do you have items to donate? Contact Sojourner House Family Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Mainspring House Shelter - Brockton, MA ","Boston, MA",,"54 North Main Street Brockton, MA 02301",508 587 5441,https://helpfbms.org/,"Open: 24 hours per day, 365 days per year.If you are an individual in need of emergency shelter for the night, we operate two shelters for adults (no children or minors):Father Bill’s Place38 Broad StreetQuincy, MA 02169Phone: 617-770-3314MainSpring House54 North Main StreetBrockton, MA 02301Phone: 508-587-5441Father Bill’s Place, Quincy, and MainSpring House, Brockton is open to any individual adult, age 18+, who originates from our service area (proof of connection to service area required). Guests not originating from our service area may stay for up to 3 days as you make arrangements for shelter or other services in your area of origin.Guests may bring 2 bags. Intake begins at 4:30 p.m. and ends at 6:00 p.m. daily. During intake, belongings are searched to ensure safety of all guests; medications and electronics (including cell phones) are locked and made available as needed; beds are assigned; and guests are given towels. Guests must depart the building by 7:30 a.m. each morning, unless inclement weather dictates a “stay-in” day, which will be announced by staff that morning.Guests are served a hot dinner and a continental breakfast. Lunch is also available and open to the community from 11: 30 a.m. to 1:00 p.m.Families in need of shelter must be referred through the Department of Housing and Community Development. Do you have items to donate? Contact Mainspring House Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"St. Patrick's Shelter - Somerville, MA ","Boston, MA",,"270 Washington St Somerville, MA 02143",,http://www.ccab.org,"An emergency and extended stay shelter for women only over the age of eighteen. Operated by Catholic Charities. No referral needed, walk in by 3pm. Hours of operation: shelter 24/7, Office 9/5 daily except for weekends. Serves all of Middlesex County. Clients need to call in the morning for bed reservation. Shelter pick - up is at the Cambridge Multi - Service Center, 362 Green Street, Cambridge (Central Square) at 4: 00 pm . Shelter offers bed and a food pantry on Tuesdays and Thursdays. It is not wheelchair accessible Do you have items to donate? Contact St. Patrick's Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"ReVision Family Home - Dorchester, MA ","Boston, MA",,"not disclosed Dorchester, MA 02124",(617) 541-0222,http://www.vpi.org/NewVPI/ReVisionHouse.html,"shelter for 22 homeless women and their families that provides life-stabilization services, intensive housing placement services and vocational case management services. ReVision Family Home is directly connected to Victory Programs' ReVision Urban Farm and also provides hands on nutritional services to shelter residents. Do you have items to donate? Contact ReVision Family Home at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"FAMILIES IN TRANSITION - Boston, MA ","Boston, MA",,"316 Huntington Avenue Boston, MA 02115",,617 927 8290,Do you have items to donate? Contact FAMILIES IN TRANSITION at the phone number provided above to see if they can use any items you may have to donate.,2020-02-02
"Under the Oak Day Shelter - Lowell, MA ","Boston, MA",,"180 East Merrimack St. Lowell, MA 01852",978~459~9631,www.undertheoak.org,"Under the Oak is a day shelter that is Christian based and located at Christ Church United in Lowell, Ma. UTO is open every Wednesday from 11am till 2pm..On cold or snow days we open earlier and stay open later. We serve a hot lunch along with fellowship and arts and crafts - UTO helps those in need feel needed. Volunteers Requests by Under the Oak Day Shelter: We do accept volunteers with cori check but all are welcome- criminal back ground ok but cori must be on file. Donation Requests by Under the Oak Day Shelter: Clothing,toiletries,paper goods..Coats and seasonal clothing- Soap,tooth brushes and deoderant.",2020-02-01
"CAMBRIDGE YWCA - Cambridge, MA ","Boston, MA",,"7 Temple Street Cambridge, MA 02139",,617-491-6050,Our shelter only excepts families referred by Department Housing Community Development. Do you have items to donate? Contact CAMBRIDGE YWCA at the phone number provided above to see if they can use any items you may have to donate.,
"Urban Ministries Renewal House Domestice Violence Shelter - Roxbury, MA ","Boston, MA",,"10 Putnam Street Roxbury, MA 02119",,617-566-6881,"Renewal House is a domestic violence shelter for individuals in crisis and their children. Since 1980, Renewal House has provided temporary emergency shelter and advocacy services to more than 1,000 individuals and families escaping domestic violence. Emergency shelter for up to three months. Do you have items to donate? Contact Urban Ministries Renewal House Domestice Violence Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"New England Center for Homeless Veterans - Boston, MA ","Boston, MA",,"17 Court Street Boston, MA 02108",617-371-1800,www.nechv.org,"The Mission of the New England Center for Homeless Veterans is to extend a helping hand to homeless men and women veterans who are addressing the challenges of: addiction, trauma, severe and persistent mental illness, and/or unemployment and who will commit themselves to sobriety, non-violence, and working for personal change. We are recognized as one of the most effective private veteran's transition programs in the country. Do you have items to donate? Contact New England Center for Homeless Veterans at the phone number provided above to see if they can use any items you may have to donate.",
"Sojourner House Family Shelter - Roxbury, MA ","Boston, MA",,"85 Rockland Street Roxbury, MA 02119",617.442.0590,https://sojournerhouseinboston.wordpress.com/,"Must have a referral from the Department of Housing and Community Development and be eligible for Emergency Assistance. Call for full details. Sojourner House is a family shelter in Roxbury which opened in October of 1981. The program, set up in a recently remodeled house, is designed to meet the immediate survival needs of displaced families. We shelter two-parent and single-parent families on a 24-hour basis. Families that come to stay here are not required to leave after a limited time. The population consists largely of women and children, and children are the majority of our guests.The goal of Sojourner House is to provide a stable environment for families, while helping them obtain and maintain safe, permanent, affordable housing. Counseling and referrals are provided within the context of a supportive and stable atmosphere. Do you have items to donate? Contact Sojourner House Family Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"Saint Mary's Women and Infants Center Margaret's House - Dorchester, MA ","Boston, MA",,"90 Cushing Avenue Dorchester, MA 02125",,617-436-8600,Shelter for homeless families. Contact for full detail. Do you have items to donate? Contact Saint Mary's Women and Infants Center Margaret's House at the phone number provided above to see if they can use any items you may have to donate.,
"CARDINAL MEDEIROS CENTER - Boston, MA ","Boston, MA",,"25 Isabella Street Boston, MA 02118",,(617) 619-6960,day program for ages 50+. Do you have items to donate? Contact CARDINAL MEDEIROS CENTER at the phone number provided above to see if they can use any items you may have to donate.,
"Lowell Transitional Living Center - Lowell, MA ","Boston, MA",,"189 Middlesex Street Lowell, MA 01852",(978) 458-9888,http://ltlc.org/ : Follow us on Facebook,"Lowell Transitional Living Center provides three daily meals, a safe environment, detox placement, individual assessment and referrals, medical care, case management, street outreach to chronically homeless, rep payee services, clothing and on site GED and support group programming.The Lowell Transitional Living Center provides the most vulnerable adults in our community with programs and services that meet immediate needs for emergency shelter and food, along with case management and other help that enable those we serve to make the transition from a shelter bed to a permanent place to call home.Our approach matches what people experiencing homelessness want and seek our help to achieve, and it is particularly effective for people who have lost their homes due to a personal crisis. We provide intensive services for the chronically homeless. Many of our programs, including the Meals program, are open to the wider community. Clients can continue to access these programs after they move into new homes.Our Case Management Program is the heart of our organization. With our clients, Intake Case Managers develop a plan that will lead to employment and housing.Sometimes it is the little things that require the help of a case manager, such as obtaining a form of identification, or accessing health care. Other times the problems are long standing and difficult. Either way our dedicated team of case managers provide support, education, and guidance on the road to housing and self-sufficiency. Case Managers promote overall stability, emphasizing physical and behavioral health and nutrition. When needed, our case managers work with those in need of drug/alcohol rehabilitation through relationships with local rehabilitation programs, as well as proving transportation.Many clients elect to enroll in continued Case Management to maintain stability while in housing. Do you have items to donate? Contact Lowell Transitional Living Center at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"BOSTON CITY SHELTER - Long Island, Bo ","Boston, MA",,"Long Island Hospital Long Island, Bo MA",,02122,617 534 2526 Do you have items to donate? Contact BOSTON CITY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"DAYBREAK SHELTER - Lawrence, MA ","Boston, MA",,"19 Winter Street Lawrence, MA 01843",,978 975 4547,Do you have items to donate? Contact DAYBREAK SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Saint Mary's Women and Infants Center Margaret's House - Dorchester, MA ","Boston, MA",,"90 Cushing Avenue Dorchester, MA 02125",,617-436-8600,Shelter for homeless families. Contact for full detail. Do you have items to donate? Contact Saint Mary's Women and Infants Center Margaret's House at the phone number provided above to see if they can use any items you may have to donate.,
"Cross Street Family Shelter - Somerville, MA ","Boston, MA",,"59 Cross Street Somerville, MA 02144",617-776-6661,http://www.somervillehomelesscoalition.org,"The shelter is open 24 hours a day, 7 days a week.This is a residential facility for families in a communal-like atmosphere where families reside together and share services and resources. The family shelter can serve five families at one time and offers housing search, case management, referrals to community resources such as school enrollment, child care, parenting skills, budgeting, etc. Referral required from DTA. The building is not wheelchair accessible Do you have items to donate? Contact Cross Street Family Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"GREATER LOWELL EMERGENCY FAMILY SHELTER - Lowell, MA ","Boston, MA",,"167 Dutton Street Lowell, MA 01852",,978 459 0551,Do you have items to donate? Contact GREATER LOWELL EMERGENCY FAMILY SHELTER at the phone number provided above to see if they can use any items you may have to donate.,
"Crittenton Women's Union - Boston, MA ","Boston, MA",,"1 Washington Mall Boston, MA 02108",617.259.2900,www.liveworkthrive.org,"Crittenton Women's Union is the largest provider of family shelter in Massachusetts, serving more than 350 families a year. During their stay, families develop a plan to help them move toward an economically independent life. Also provides Family support services and Food Services.Crittenton Women's Union provides a residential meals program for its congregate housing sites in Brighton and Allston and conducts a for-profit food business delivering more than 1,000 meals day. CWU's for-profit food services contributes revenues that help fund CWU's direct services, research and advocacy. Do you have items to donate? Contact Crittenton Women's Union at the phone number provided above to see if they can use any items you may have to donate.",
"LAZARUS HOUSE - Lawrence, MA ","Boston, MA",,"48 Holly Street Lawrence, MA 01841",978-689-8575,www.lazarushouse.org,"Opened in 1983, Lazarus House's 31-bed emergency shelter is located in the Arlington District of Lawrence, MA. Seven days a week, Lazarus House provides a safe, clean and supportive environment for individuals and families on referral by social service, law enforcement, church or community groups. Guests are provided with three meals, a place to sleep, showers and laundry services, as well as counseling and referrals for community support. Guests may stay at Lazarus House while looking for a permanent home. We strive to encourage and support those who are unable to find housing or for those who are working towards making a deposit on housing. All services are provided free of charge and without regard to sex, race or religion. Above all, services are provided in the spirit of Christ with compassion and in regard for the dignity of each individual. Lazarus House has 31 beds and 7 cribs, with separate rooms for men, women, and families. Lazarus House provides three meals a day, clothing, laundry, linens, toiletries, infant care supplies, as well as all of the things a family needs to be a family. Our shelter is the foundation to break the cycle of poverty and resume independent living in the future. Lazarus House provides a hand up rather than a hand out: Structured, supervised environment All guests work with staff advocates toward self responsibility Encouragement to save money - budget - develop life skills Responsibility - Household shelter chores Many people who live at the shelter work full time. Due to limited job training, experience and corresponding wages, an average of 4-6 months is required for families to save enough money to move to a permanent residence. Do you have items to donate? Contact LAZARUS HOUSE at the phone number provided above to see if they can use any items you may have to donate.",
"Finex House Shelter For Battered Women - Jamaica Plain, MA ","Boston, MA",,"PO Box 300670 Jamaica Plain, MA 02130",,617-436-2002,"Finex House is shelter for battered women and their children; especially those who have disabilities and/or women who are trafficked. We are wheelchair accessible with two concrete ramps and an internal lift. Finex House also has a light-coded signal system for deaf, battered women and their children. Finex House is an equal opportunity service provider and therefore any woman who has been abused is strongly encouraged to call for services. Do you have items to donate? Contact Finex House Shelter For Battered Women at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
"CARDINAL MEDEIROS CENTER - Boston, MA ","Boston, MA",,"25 Isabella Street Boston, MA 02118",,(617) 619-6960,day program for ages 50+. Do you have items to donate? Contact CARDINAL MEDEIROS CENTER at the phone number provided above to see if they can use any items you may have to donate.,
"Lynn Shelter Association -  Adult Emergency Shelter - Lynn, MA ","Boston, MA",,"91 Liberty Street Lynn, MA 01901",781 581 6600,http://www.lsahome.org/ : Follow us on Facebook,"General InformationProviding emergency shelter to individuals and families, transitional and permanent supportive housing and street outreachAdult Emergency ShelterOpen 365 days a year, our emergency shelter serves up to 44 men and women over age 18, providing on-site case management, mental health and medical triage, access to basic necessities and a starting point on the path to permanent housing.Other Area Shelters Provided By Lynn Shelter Association.Bridge House Family Shelter: 781.593.3898Independence House: 781.477.7974 Great Hill: 781.593.3484 Veterans Group Housing for Chronically Addicted People Housing Opportunities for People with AIDSGreen House Family Shelter: 781.346.6568Shelter & Care at the Osmund: 781.596.3290 Inn Progression Massachusetts Rental Voucher Program Do you have items to donate? Contact Lynn Shelter Association - Adult Emergency Shelter at the phone number provided above to see if they can use any items you may have to donate.",2020-02-01
"CATHOLIC CHARITIES St. Ambrose Family Inn - Dorchester, MA ","Boston, MA",,"25 Leonard Street Dorchester, MA 02122",(617) 288-7675,http://www.bc.edu/bc_org/avp/cas/pulse/stambrose.html,"St. Ambrose Family Inn, a program of Catholic Charities, is a shelter in the Field's Corner neighborhood of Dorchester. Opened in 1989, the shelter can accommodate 12 families. The population is mostly women and children, but we do accept fathers with their children. There are usually 18-25 children staying at the shelter and they range in age from 0 to 17 years. The goals of the shelter are to assist families in finding safe and affordable housing, and to prepare families to live successfully and independently in their own apartments. While families stay at the Inn, they are provided with housing search assistance, social work services, comfortable rooms and nutritious meals. Do you have items to donate? Contact CATHOLIC CHARITIES St. Ambrose Family Inn at the phone number provided above to see if they can use any items you may have to donate.",
"Father Bill's Place - Quincy, MA ","Boston, MA",,"38 Broad Street Quincy, MA 02169",617 770 3314,http://helpfbms.org,Emergency Shelter for those 18 years old and up. We shelter an average of 225 individual adults each night at Father Bill's Place in Quincy and MainSpring House in Brockton. No one in need is turned away. Public funding covers less than half of our shelter costs. That is why your support is so important! Would you consider running a donation drive for basic supplies? Please see the wish lists below and call the development office at 617-376-2255. Do you have items to donate? Contact Father Bill's Place at the phone number provided above to see if they can use any items you may have to donate.,
"Finex House Shelter For Battered Women - Jamaica Plain, MA ","Boston, MA",,"PO Box 300670 Jamaica Plain, MA 02130",,617-436-2002,"Finex House is shelter for battered women and their children; especially those who have disabilities and/or women who are trafficked. We are wheelchair accessible with two concrete ramps and an internal lift. Finex House also has a light-coded signal system for deaf, battered women and their children. Finex House is an equal opportunity service provider and therefore any woman who has been abused is strongly encouraged to call for services. Do you have items to donate? Contact Finex House Shelter For Battered Women at the phone number provided above to see if they can use any items you may have to donate.",2020-02-02
